,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.47 *** CI=[0.34, 0.58]","nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.76]","0.21 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.74 *** CI=[0.67, 0.80]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.77 *** CI=[0.68, 0.85]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.71 *** CI=[0.60, 0.80]","0.65 *** CI=[0.53, 0.75]","-0.11 * CI=[nan, nan]","0.68 *** CI=[0.55, 0.79]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.71 *** CI=[0.61, 0.79]","0.67 *** CI=[0.55, 0.76]","0.79 *** CI=[0.73, 0.85]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.46 *** CI=[0.25, 0.62]","nan  CI=[nan, nan]","0.49 *** CI=[0.41, 0.58]","0.18 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.44, 0.61]","0.68 *** CI=[0.57, 0.77]","nan  CI=[nan, nan]","0.88 *** CI=[0.78, 0.96]","nan  CI=[nan, nan]","0.71 *** CI=[0.60, 0.80]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.91 *** CI=[0.83, 0.98]","0.02  CI=[nan, nan]","0.99 *** CI=[0.95, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.92 *** CI=[0.85, 0.97]","0.63 *** CI=[0.54, 0.70]"
I2,"nan  CI=[nan, nan]","0.35 *** CI=[0.13, 0.55]","nan  CI=[nan, nan]","0.48 *** CI=[0.39, 0.56]","0.20 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.47 *** CI=[0.38, 0.56]","0.62 *** CI=[0.50, 0.72]","nan  CI=[nan, nan]","0.86 *** CI=[0.74, 0.94]","nan  CI=[nan, nan]","0.65 *** CI=[0.53, 0.75]","nan  CI=[nan, nan]","0.91 *** CI=[0.83, 0.98]","1.00 *** CI=[1.00, 1.00]","0.02  CI=[nan, nan]","0.92 *** CI=[0.84, 0.97]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.91 *** CI=[0.83, 0.98]","0.84 *** CI=[0.74, 0.92]","0.58 *** CI=[0.49, 0.66]"
I3-D,"nan  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","-0.12 * CI=[nan, nan]","nan  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","-0.11 * CI=[nan, nan]","nan  CI=[nan, nan]","0.02  CI=[nan, nan]","0.02  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.18 *** CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.02  CI=[nan, nan]","0.01  CI=[nan, nan]","0.03  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.46 *** CI=[0.24, 0.62]","nan  CI=[nan, nan]","0.49 *** CI=[0.40, 0.58]","0.19 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[0.43, 0.60]","0.65 *** CI=[0.51, 0.77]","nan  CI=[nan, nan]","0.87 *** CI=[0.78, 0.95]","nan  CI=[nan, nan]","0.68 *** CI=[0.55, 0.79]","nan  CI=[nan, nan]","0.99 *** CI=[0.95, 1.00]","0.92 *** CI=[0.84, 0.97]","0.18 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.04  CI=[0.02, 0.06]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.95, 1.00]","0.90 *** CI=[0.83, 0.96]","0.62 *** CI=[0.53, 0.70]"
R1.1,"nan  CI=[nan, nan]","0.03  CI=[0.01, 0.04]","nan  CI=[nan, nan]","0.24 *** CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.24 *** CI=[nan, nan]","0.06  CI=[0.04, 0.09]","nan  CI=[nan, nan]","0.05  CI=[0.02, 0.06]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.04  CI=[nan, nan]","-0.01  CI=[nan, nan]","0.04  CI=[0.02, 0.06]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.44 *** CI=[0.25, 0.57]","0.30 *** CI=[0.19, 0.40]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.46 *** CI=[0.27, 0.62]","nan  CI=[nan, nan]","0.49 *** CI=[0.40, 0.59]","0.18 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.44, 0.60]","0.68 *** CI=[0.56, 0.77]","nan  CI=[nan, nan]","0.88 *** CI=[0.78, 0.96]","nan  CI=[nan, nan]","0.71 *** CI=[0.61, 0.79]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.91 *** CI=[0.83, 0.98]","0.02  CI=[nan, nan]","0.99 *** CI=[0.95, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.92 *** CI=[0.85, 0.97]","0.63 *** CI=[0.55, 0.71]"
R,"nan  CI=[nan, nan]","0.42 *** CI=[0.23, 0.56]","nan  CI=[nan, nan]","0.54 *** CI=[0.45, 0.63]","0.17 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[0.49, 0.64]","0.63 *** CI=[0.53, 0.73]","nan  CI=[nan, nan]","0.81 *** CI=[0.70, 0.90]","nan  CI=[nan, nan]","0.67 *** CI=[0.55, 0.76]","nan  CI=[nan, nan]","0.92 *** CI=[0.85, 0.97]","0.84 *** CI=[0.74, 0.92]","0.01  CI=[nan, nan]","0.90 *** CI=[0.83, 0.96]","0.44 *** CI=[0.25, 0.57]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.92 *** CI=[0.85, 0.97]","1.00 *** CI=[1.00, 1.00]","0.69 *** CI=[0.60, 0.75]"
FAIR,"nan  CI=[nan, nan]","0.40 *** CI=[0.28, 0.49]","nan  CI=[nan, nan]","0.95 *** CI=[0.92, 0.98]","0.19 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.97, 0.99]","0.79 *** CI=[0.72, 0.84]","nan  CI=[nan, nan]","0.62 *** CI=[0.53, 0.70]","nan  CI=[nan, nan]","0.79 *** CI=[0.73, 0.85]","nan  CI=[nan, nan]","0.63 *** CI=[0.54, 0.70]","0.58 *** CI=[0.49, 0.66]","0.03  CI=[nan, nan]","0.62 *** CI=[0.53, 0.70]","0.30 *** CI=[0.19, 0.40]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.55, 0.71]","0.69 *** CI=[0.60, 0.75]","1.00 *** CI=[1.00, 1.00]"
