,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.21 *** CI=[0.06, 0.33]","0.16 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.47]","0.41 *** CI=[0.29, 0.51]","nan  CI=[nan, nan]","0.52 *** CI=[0.38, 0.64]","nan  CI=[nan, nan]","0.43 *** CI=[0.30, 0.55]","nan  CI=[nan, nan]","0.41 *** CI=[0.23, 0.55]","0.29 *** CI=[0.08, 0.48]","0.01  CI=[nan, nan]","0.41 *** CI=[0.22, 0.56]","-0.07  CI=[-0.28, 0.03]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.41 *** CI=[0.23, 0.55]","0.33 *** CI=[0.13, 0.50]","0.36 *** CI=[0.25, 0.46]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.21 *** CI=[0.06, 0.33]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.20 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.97 *** CI=[0.93, 1.00]","0.69 *** CI=[0.61, 0.77]","nan  CI=[nan, nan]","0.49 *** CI=[0.39, 0.59]","nan  CI=[nan, nan]","0.68 *** CI=[0.60, 0.76]","nan  CI=[nan, nan]","0.54 *** CI=[0.44, 0.63]","0.52 *** CI=[0.43, 0.60]","0.03  CI=[nan, nan]","0.54 *** CI=[0.45, 0.62]","0.24 *** CI=[0.11, 0.34]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.45, 0.62]","0.58 *** CI=[0.49, 0.65]","0.95 *** CI=[0.91, 0.97]"
F3-M,"nan  CI=[nan, nan]","0.16 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.20 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.20 *** CI=[nan, nan]","0.21 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.20 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.06  CI=[nan, nan]","0.01  CI=[nan, nan]","0.07  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.06  CI=[nan, nan]","0.17 ** CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.38 *** CI=[0.26, 0.47]","nan  CI=[nan, nan]","0.97 *** CI=[0.93, 1.00]","0.20 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.74 *** CI=[0.68, 0.80]","nan  CI=[nan, nan]","0.56 *** CI=[0.48, 0.64]","nan  CI=[nan, nan]","0.73 *** CI=[0.66, 0.79]","nan  CI=[nan, nan]","0.56 *** CI=[0.48, 0.64]","0.51 *** CI=[0.42, 0.59]","0.03  CI=[nan, nan]","0.56 *** CI=[0.48, 0.64]","0.19 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.48, 0.65]","0.58 *** CI=[0.47, 0.66]","0.97 *** CI=[0.96, 0.99]"
A1-D,"nan  CI=[nan, nan]","0.41 *** CI=[0.29, 0.51]","nan  CI=[nan, nan]","0.69 *** CI=[0.61, 0.77]","0.21 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.74 *** CI=[0.68, 0.80]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.79 *** CI=[0.70, 0.87]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.77 *** CI=[0.67, 0.86]","0.72 *** CI=[0.62, 0.81]","-0.12 * CI=[nan, nan]","0.74 *** CI=[0.62, 0.84]","0.02  CI=[-0.07, 0.09]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.77 *** CI=[0.68, 0.85]","0.69 *** CI=[0.57, 0.80]","0.78 *** CI=[0.72, 0.84]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.52 *** CI=[0.38, 0.64]","nan  CI=[nan, nan]","0.49 *** CI=[0.39, 0.59]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.48, 0.64]","0.79 *** CI=[0.70, 0.87]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.83 *** CI=[0.76, 0.90]","nan  CI=[nan, nan]","0.93 *** CI=[0.85, 0.98]","0.91 *** CI=[0.83, 0.97]","0.02  CI=[nan, nan]","0.92 *** CI=[0.86, 0.98]","-0.00  CI=[-0.12, 0.07]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.93 *** CI=[0.86, 0.98]","0.82 *** CI=[0.70, 0.92]","0.67 *** CI=[0.59, 0.74]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
