,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[0.29, 0.65]","0.31 * CI=[nan, nan]","nan  CI=[nan, nan]","0.75 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","0.27 * CI=[nan, nan]","0.14  CI=[nan, nan]","0.44 *** CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.46 *** CI=[nan, nan]","0.56 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.97 *** CI=[0.92, 1.00]","0.64 *** CI=[0.46, 0.78]","nan  CI=[nan, nan]","0.53 *** CI=[0.37, 0.66]","nan  CI=[nan, nan]","0.70 *** CI=[0.54, 0.81]","nan  CI=[nan, nan]","0.60 *** CI=[0.42, 0.72]","0.48 *** CI=[nan, nan]","0.61 *** CI=[0.45, 0.73]","0.78 *** CI=[0.66, 0.86]","0.35 ** CI=[0.15, 0.53]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.59 *** CI=[0.40, 0.74]","0.95 *** CI=[0.90, 0.97]","0.60 *** CI=[0.41, 0.73]"
F3-M,"nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.04  CI=[nan, nan]","0.06  CI=[nan, nan]","0.19  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","0.19  CI=[nan, nan]","0.28 * CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.50 *** CI=[0.29, 0.65]","nan  CI=[nan, nan]","0.97 *** CI=[0.92, 1.00]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.64 *** CI=[0.46, 0.78]","nan  CI=[nan, nan]","0.62 *** CI=[0.46, 0.74]","nan  CI=[nan, nan]","0.73 *** CI=[0.55, 0.85]","nan  CI=[nan, nan]","0.64 *** CI=[0.47, 0.75]","0.44 *** CI=[nan, nan]","0.61 *** CI=[0.43, 0.73]","0.80 *** CI=[0.70, 0.88]","0.32 ** CI=[0.10, 0.51]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.39, 0.77]","0.96 *** CI=[0.93, 0.98]","0.64 *** CI=[0.46, 0.75]"
A1-D,"nan  CI=[nan, nan]","0.31 * CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[0.46, 0.78]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[0.46, 0.78]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.42 *** CI=[0.28, 0.56]","nan  CI=[nan, nan]","0.95 *** CI=[0.91, 0.98]","nan  CI=[nan, nan]","0.44 *** CI=[0.31, 0.59]","0.31 * CI=[nan, nan]","0.30 * CI=[0.06, 0.49]","0.48 *** CI=[0.30, 0.61]","0.17  CI=[-0.08, 0.40]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 ** CI=[0.17, 0.57]","0.76 *** CI=[0.63, 0.84]","0.44 *** CI=[0.30, 0.59]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.75 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.37, 0.66]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[0.46, 0.74]","0.42 *** CI=[0.28, 0.56]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.68 *** CI=[0.49, 0.80]","nan  CI=[nan, nan]","0.83 *** CI=[0.61, 1.00]","0.60 *** CI=[nan, nan]","0.19  CI=[0.12, 0.29]","0.66 *** CI=[0.46, 0.80]","0.12  CI=[-0.10, 0.27]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[0.26, 0.79]","0.62 *** CI=[0.46, 0.74]","0.83 *** CI=[0.62, 1.00]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.70 *** CI=[0.54, 0.81]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.55, 0.85]","0.95 *** CI=[0.91, 0.98]","nan  CI=[nan, nan]","0.68 *** CI=[0.49, 0.80]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[0.49, 0.76]","0.46 *** CI=[nan, nan]","0.31 * CI=[0.12, 0.47]","0.61 *** CI=[0.42, 0.75]","0.18  CI=[-0.05, 0.37]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[0.25, 0.68]","0.83 *** CI=[0.70, 0.90]","0.64 *** CI=[0.46, 0.77]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.42, 0.72]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[0.47, 0.75]","0.44 *** CI=[0.31, 0.59]","nan  CI=[nan, nan]","0.83 *** CI=[0.61, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[0.49, 0.76]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.71 *** CI=[nan, nan]","0.20  CI=[0.12, 0.30]","0.77 *** CI=[0.61, 0.88]","0.24  CI=[0.15, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.75 *** CI=[0.58, 0.86]","0.65 *** CI=[0.47, 0.77]","1.00 *** CI=[1.00, 1.00]"
