,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.26 ** CI=[nan, nan]","nan  CI=[nan, nan]","-0.04  CI=[-0.19, 0.10]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[-0.12, 0.20]","0.99 *** CI=[0.98, 0.99]","nan  CI=[nan, nan]","0.83 *** CI=[0.74, 0.91]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.61 *** CI=[0.45, 0.75]","nan  CI=[nan, nan]","-0.13  CI=[nan, nan]","0.56 *** CI=[0.36, 0.72]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.45, 0.74]","0.61 *** CI=[0.45, 0.75]","0.75 *** CI=[0.65, 0.83]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.11  CI=[-0.26, 0.04]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.10  CI=[-0.25, 0.04]","0.53 *** CI=[0.36, 0.68]","nan  CI=[nan, nan]","0.76 *** CI=[0.62, 0.87]","nan  CI=[nan, nan]","0.61 *** CI=[0.45, 0.75]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.98 *** CI=[0.95, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.99 *** CI=[0.96, 1.00]","0.76 *** CI=[0.67, 0.81]"
I2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","-0.18 * CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.13  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.27 ** CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.07  CI=[nan, nan]","0.10  CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.10  CI=[-0.24, 0.04]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.09  CI=[-0.23, 0.06]","0.47 *** CI=[0.26, 0.64]","nan  CI=[nan, nan]","0.74 *** CI=[0.60, 0.85]","nan  CI=[nan, nan]","0.56 *** CI=[0.36, 0.72]","nan  CI=[nan, nan]","0.98 *** CI=[0.95, 1.00]","nan  CI=[nan, nan]","0.27 ** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.97 *** CI=[0.92, 1.00]","0.75 *** CI=[0.66, 0.81]"
R1.1,"nan  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","0.05  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","0.20 * CI=[nan, nan]","0.15  CI=[nan, nan]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.11  CI=[-0.26, 0.02]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.10  CI=[-0.25, 0.05]","0.53 *** CI=[0.34, 0.66]","nan  CI=[nan, nan]","0.76 *** CI=[0.62, 0.88]","nan  CI=[nan, nan]","0.61 *** CI=[0.45, 0.74]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.99 *** CI=[0.96, 1.00]","0.76 *** CI=[0.67, 0.81]"
R,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.09  CI=[-0.24, 0.07]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.08  CI=[-0.24, 0.08]","0.53 *** CI=[0.37, 0.67]","nan  CI=[nan, nan]","0.75 *** CI=[0.63, 0.87]","nan  CI=[nan, nan]","0.61 *** CI=[0.45, 0.75]","nan  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","0.97 *** CI=[0.92, 1.00]","0.20 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.96, 1.00]","1.00 *** CI=[1.00, 1.00]","0.76 *** CI=[0.68, 0.83]"
FAIR,"nan  CI=[nan, nan]","0.20 * CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.20, 0.56]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.27, 0.61]","0.72 *** CI=[0.63, 0.80]","nan  CI=[nan, nan]","0.69 *** CI=[0.59, 0.77]","nan  CI=[nan, nan]","0.75 *** CI=[0.65, 0.83]","nan  CI=[nan, nan]","0.76 *** CI=[0.67, 0.81]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","0.75 *** CI=[0.66, 0.81]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.76 *** CI=[0.67, 0.81]","0.76 *** CI=[0.68, 0.83]","1.00 *** CI=[1.00, 1.00]"
