,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.29,*,-0.02,,,,0.3,*,0.57,***,,,1.0,***,,,0.59,***,,,1.0,***,1.0,***,0.03,,0.51,***,0.27,*,,,,,1.0,***,0.33,*,0.31,*
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.29,*,,,1.0,***,0.31,*,,,1.0,***,0.49,***,,,0.29,*,,,0.49,***,,,0.29,*,0.29,*,-0.07,,0.08,,0.93,***,,,,,0.29,*,0.93,***,1.0,***
F3-M,,,-0.02,,,,0.31,*,1.0,***,,,0.31,*,0.57,***,,,-0.02,,,,0.56,***,,,-0.02,,-0.02,,0.03,,0.02,,0.27,*,,,,,-0.02,,0.27,*,0.3,*
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.3,*,,,1.0,***,0.31,*,,,1.0,***,0.5,***,,,0.3,*,,,0.5,***,,,0.3,*,0.3,*,-0.07,,0.09,,0.93,***,,,,,0.3,*,0.93,***,1.0,***
A1-D,,,0.57,***,,,0.49,***,0.57,***,,,0.5,***,1.0,***,,,0.57,***,,,1.0,***,,,0.57,***,0.57,***,-0.3,*,0.02,,0.48,***,,,,,0.57,***,0.51,***,0.5,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,1.0,***,,,0.29,*,-0.02,,,,0.3,*,0.57,***,,,1.0,***,,,0.59,***,,,1.0,***,1.0,***,0.03,,0.51,***,0.27,*,,,,,1.0,***,0.33,*,0.31,*
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.59,***,,,0.49,***,0.56,***,,,0.5,***,1.0,***,,,0.59,***,,,1.0,***,,,0.59,***,0.59,***,-0.29,*,0.04,,0.48,***,,,,,0.59,***,0.51,***,0.5,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,1.0,***,,,0.29,*,-0.02,,,,0.3,*,0.57,***,,,1.0,***,,,0.59,***,,,1.0,***,1.0,***,0.03,,0.51,***,0.27,*,,,,,1.0,***,0.33,*,0.31,*
I2,,,1.0,***,,,0.29,*,-0.02,,,,0.3,*,0.57,***,,,1.0,***,,,0.59,***,,,1.0,***,1.0,***,0.03,,0.51,***,0.27,*,,,,,1.0,***,0.33,*,0.31,*
I3-D,,,0.03,,,,-0.07,,0.03,,,,-0.07,,-0.3,*,,,0.03,,,,-0.29,*,,,0.03,,0.03,,1.0,***,0.87,***,-0.28,*,,,,,0.03,,-0.27,*,-0.07,
I,,,0.51,***,,,0.08,,0.02,,,,0.09,,0.02,,,,0.51,***,,,0.04,,,,0.51,***,0.51,***,0.87,***,1.0,***,-0.11,,,,,,0.51,***,-0.07,,0.09,
R1.1,,,0.27,*,,,0.93,***,0.27,*,,,0.93,***,0.48,***,,,0.27,*,,,0.48,***,,,0.27,*,0.27,*,-0.28,*,-0.11,,1.0,***,,,,,0.27,*,1.0,***,0.93,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,1.0,***,,,0.29,*,-0.02,,,,0.3,*,0.57,***,,,1.0,***,,,0.59,***,,,1.0,***,1.0,***,0.03,,0.51,***,0.27,*,,,,,1.0,***,0.33,*,0.31,*
R,,,0.33,*,,,0.93,***,0.27,*,,,0.93,***,0.51,***,,,0.33,*,,,0.51,***,,,0.33,*,0.33,*,-0.27,*,-0.07,,1.0,***,,,,,0.33,*,1.0,***,0.93,***
FAIR,,,0.31,*,,,1.0,***,0.3,*,,,1.0,***,0.5,***,,,0.31,*,,,0.5,***,,,0.31,*,0.31,*,-0.07,,0.09,,0.93,***,,,,,0.31,*,0.93,***,1.0,***
