,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.27 * CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.08  CI=[nan, nan]","0.39 *** CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.38 ** CI=[nan, nan]","0.30 * CI=[nan, nan]","1.00 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.27 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","0.81 *** CI=[0.71, 0.88]","nan  CI=[nan, nan]","0.34 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.83 *** CI=[0.74, 0.90]","nan  CI=[nan, nan]","0.27 * CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[0.33, 0.71]","0.58 *** CI=[0.40, 0.73]","0.39 *** CI=[0.21, 0.58]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 *** CI=[0.25, 0.61]","0.98 *** CI=[0.96, 0.99]","0.27 * CI=[nan, nan]"
F3-M,"nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.13  CI=[nan, nan]","-0.13  CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.08  CI=[nan, nan]","0.14  CI=[nan, nan]","-0.03  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.81 *** CI=[0.71, 0.88]","nan  CI=[nan, nan]","0.34 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.83 *** CI=[0.74, 0.90]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[0.26, 0.67]","0.55 *** CI=[0.31, 0.73]","0.39 *** CI=[0.21, 0.56]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 *** CI=[0.23, 0.62]","0.96 *** CI=[0.91, 0.99]","0.29 * CI=[nan, nan]"
A1-D,"nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[0.71, 0.88]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[0.71, 0.88]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","0.97 *** CI=[0.93, 1.00]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.24, 0.64]","0.46 *** CI=[0.27, 0.63]","0.24 * CI=[0.01, 0.46]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.26 * CI=[0.04, 0.48]","0.84 *** CI=[0.77, 0.88]","0.14  CI=[nan, nan]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.81 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.81 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[nan, nan]","0.36 ** CI=[nan, nan]","0.81 *** CI=[nan, nan]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.32 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.83 *** CI=[0.74, 0.90]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.83 *** CI=[0.74, 0.90]","0.97 *** CI=[0.93, 1.00]","nan  CI=[nan, nan]","0.40 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.32 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.25, 0.62]","0.51 *** CI=[0.33, 0.68]","0.25 * CI=[0.03, 0.45]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 ** CI=[0.08, 0.53]","0.87 *** CI=[0.81, 0.91]","0.32 ** CI=[nan, nan]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
